genre	espece	autorite	statut	id	id_espece
Harmothoe	lunulata var. arenicolae		f	57	1
Malmgreniella	marphysae	(McIntosh, 1876)	t	58	69
Harmothoe	lunulata var. marphysae		f	59	69
Pisione	remota	(Southern, 1914)	t	60	70
Praegeria	remota		f	61	70
Subadyte	pellucida	de Savigny, 1822	t	62	71
Scalisetosus	pellucidus		f	63	71
Adyte	assimilis	(McIntosh, 1874)	t	64	72
Scalisetosus	assimilis		f	65	72
Harmothoe	extenuata	(Grube, 1840)	t	66	73
Lagisca	extenuata		f	67	73
Polynoe	scolopendrina	de Savigny, 1822	t	68	76
Alentia	gelatinosa	(Sars, 1835)	t	69	78
Halosydna	gelatinosa		f	70	78
Sigalion	mathildae	Audoin et Milne-Edwars, 1830	t	71	79
Sigalion	squamosus	Delle Chiaje, 1830	t	72	80
Sigalion	squamatum		f	73	80
Psammolyce	arenosa	(Delle Chiaje, 1830)	f	74	81
Pelogenia	arenosa	(Delle Chiaje, 1830)	t	75	81
Psammolyce	inclusa	de Claparède, 1868	f	76	82
Claparedepelogenia	inclusa	(Claparède, 1868)	t	77	82
Sthenelais	boa	(Johnston, 1833)	t	78	83
Sthenelais	minor		f	79	83
Sthenelais	limicola	(Ehlers, 1864)	t	80	84
Euthalenessa	dendrolepis	(de Claparède, 1868)	f	81	85
Euthalenessa	oculata	(Peters, 1855)	t	82	85
Pholoe	baltica	Oersted, 1843	t	83	86
Pholoe	synophthalmica		f	84	86
Pholoe	inornata	Johnston, 1839	t	85	87
Pholoe	minuta		f	86	87
Hipponoe	gaudichaudi	(Audouin et Milne-Edwards, 1830)	t	87	88
Hipponoa	gaudichaudi		f	88	88
Diurodrilus	minimus	Remane, 1925	t	89	89
Spinther	oniscoides	Johnston, 1845	t	90	91
Phyllodoce	laminosa	de Savigny, 1818	t	91	92
Phyllodoce	macrophthalma	Schmarda, 1861	t	92	93
Phyllodoce	lineata	(de Claparède, 1870)	t	93	94
Phyllodoce	longipes	Kinberg, 1866	t	94	95
Phyllodoce	macropapillosa		f	95	95
Phyllodoce (Anaitides)	maculata	(Linnaeus, 1767)	t	96	74
Anaitides	maculata		f	97	74
Phyllodoce	maculata	(Linnaeus, 1767)	f	98	74
Phyllodoce (Anaitides)	mucosa	Oersted, 1843	t	99	96
Aniatides	mucosa		f	100	96
Phyllodoce	mucosa	Oersted, 1843	f	101	96
Nereiphylla	rubiginosa	(de Saint Joseph, 1888)	t	102	98
Phyllodoce	rubiginosa		f	103	98
Nereiphylla	paretti	Blainville, 1828	t	104	77
Phyllodoce	paretti	(Blainville, 1828)	f	105	77
Dioplosyllis	cirrosa	Gidhom, 1962	t	211	169
Protodrilus	hypoleucus tenuis	Jouin in Cabioch, L'Hardy & Rullier, 1968	t	106	53
Paranaitis	kosteriensis	(Malmgren, 1867)	t	107	99
Iphitime	cuenoti	Fauvel, 1913	t	108	241
Phyllodoce	kosteriensis	(Malmgren, 1867)	f	109	99
Phyllodoce (Anaitides)	groenlandica	Oersted, 1842	t	110	100
Anaitides	groenlandica	(Oersted, 1842)	f	111	100
Eulalia	clavigera	(Audouin & Milne-Edwards, 1833)	t	112	101
Eulalia	ornata	de Saint Joseph, 1888	t	113	102
Eulalia	viridis var. ornata 	Mc Intosh, 1908	f	114	102
Eulalia	expusilla	Pleijel, 1987	t	115	103
Eulalia	pusilla	Oersted, 1843	f	116	103
Eulalia	venusta	de Saint Joseph, 1888	t	117	104
Eulalia	trilineata	de Saint Joseph, 1888	t	118	105
Eumida	punctifera	(Grube, 1860)	f	119	106
Eulalia	punctifera	(Grube, 1860)	f	120	106
Pirakia	punctifera	(Grube, 1860)	t	121	106
Eulalia	tripunctata	McIntosh, 1874	t	122	107
Eumida	sanguinea	(Oersted, 1843)	t	123	108
Eulalia (Eumida)	sanguinea	Oersted, 1843	f	124	108
Eumida	parva	(Saint Joseph, 1888)	t	125	109
Eulalia (Eumida)	parva	Saint Joseph, 1888	f	126	109
Sige	macroceros	(Grube, 1860)	t	127	110
Polymnia	nesidensis		f	128	358
Eulalia (Pterocirrus)	macroceros	(Grube, 1860)	f	129	110
Pterocirrus	microceros	Claparède, 1870	t	130	111
Eulalia (Pterocirrus)	microcephala	Claparède, 1870	f	131	111
Eulalia	limbata	(Claparède, 1868)	t	132	112
Eulalia (Pterocirrus)	limbata	Claparède, 1868	f	133	112
Notophyllum	foliosum	(Sars, 1835)	t	134	113
Eteone	foliosa	de Quatrefages, 1866	t	135	114
Eteone	longa	(Fabricius, 1780)	t	136	115
Mysta	picta	de Quatrefages, 1865	t	137	116
Eteone (Mysta)	picta	de Quatrefages, 1866	f	138	116
Mystides	caeca	Langerhans, 1880	t	139	75
Mystides	borealis		f	140	75
Pseudomystides	limbata	(de Saint Joseph, 1888)	t	141	117
Mystides (Pseudomystides)	limbata		f	142	117
Eulalia	mustela	Pleijel, 1987	t	143	118
Protomystides	bidentata		f	144	118
Euphrosyne	foliosa	Audouin et Milne-Edwards, 1833	f	145	90
Eulalia	viridis	(Linneus, 1767)	f	146	101
Eulalia	brunnea	(Hartman-Schroeder, 1963)	t	147	97
Protomystides	brunnea		f	148	97
Lacydonia	miranda	Marion & Bobretzky, 1875	t	149	119
Tomopteris	helgolandica	Greeff, 1879	t	150	120
Kefersteinia	cirrata	(Keferstein, 1862)	t	151	121
Nereimyra	punctata	(O.F. Müller, 1776)	t	152	122
Gyptis	propinqua	Marion & Bobretzky, 1875	t	153	123
Oxydromus	propinquus		f	154	123
Ophiodromus	flexuosus	(Delle Chiaje, 1825)	t	155	124
Syllidia	armata	de Quatrefages, 1866	t	156	125
Magalia	perarmata		f	157	125
Microphthalmus	sczelkowii	Mecnikow, 1865	t	158	126
Haplosyllis	spongicola	(Grube, 1855)	t	159	127
Syllis (Haplosyllis)	spongicola		f	160	127
Haplosyllis	spongicola forma tentaculata		f	161	127
Haplosyllis	spongicola spongicola	(Grube, 1855)	f	162	127
Haplosyllis	spongicola forma spongicola		f	163	127
Syllis	amica	de Quatrefages, 1866	t	164	128
Syllis	gracilis	Grube, 1840	t	165	129
Syllis	krohni	(Ehlers, 1864)	t	166	130
Syllis (Typosyllis)	krohnii		f	167	130
Syllis	atlantica	Cognetti, 1960	t	168	131
Syllis	variegata	Grube, 1860	t	169	132
Syllis (Typosyllis)	atlantica lineata		f	170	132
Syllis	armillaris	(O.F. Müller, 1776)	t	171	135
Syllis (Typosyllis)	armillaris		f	172	135
Syllis	cornuta	Rathke, 1843	t	173	137
Syllis (Ehlersia)	cornuta		f	174	137
Paraehlersia	ferrugina	(Langerhans, 1881)	t	175	138
Syllis (Ehlersia)	ferrugina		f	176	138
Trypanosyllis	zebra	(Grube, 1860)	t	177	139
Trypanosyllis	coeliaca	de Claparède, 1868	t	178	140
Eurysyllis	tuberculata	Ehlers, 1864	t	179	141
Xenosyllis	scabra	Ehlers, 1864	t	180	142
Plakosyllis	brevipes	Hartmann-Schroeder, 1956	t	181	143
Eurysyllis (Plakosyllis)	brevipes		f	182	143
Odontosyllis	fulgurans	(Audouin et Milne-Edwards, 1833)	t	183	146
Odontosyllis	gibba	de Claparède, 1863	t	184	147
Odontosyllis	polyodonta	de Saint-Joseph, 1887	t	185	148
Odontosyllis	ctenostoma	de Claparède, 1868	t	186	149
Amblyosyllis	formosa	(de Claparède, 1863)	t	187	151
Pterosyllis	formosa		f	188	151
Streptosyllis	websteri	Southern, 1914	t	189	153
Streptosyllis	bidentata	Southern, 1914	t	190	154
Syllides	longocirratus	(Oersted, 1845)	t	191	156
Syllides	longocirrata		f	192	156
Anoplosyllis	edentula	(de Claparède, 1868)	t	193	157
Syllides	edentula		f	194	157
Nudisyllis	pulligera	(Krohn, 1852)	t	195	159
Pionosyllis	pulligera		f	196	159
Pionosyllis	serrata	(Krohn, 1852)	f	197	159
Nudisyllis	divaricata	(Krohn, 1852)	t	198	160
Pionosyllis	divaricata		f	199	160
Parapionosyllis	longocirrata	(de Saint Joseph, 1887)	t	200	161
Pionosyllis	longocirrata		f	201	161
Pionosyllis	lamelligera	de Saint Joseph, 1887	t	202	162
Pionosyllis	weismanni	(Langerhans, 1879)	t	203	163
Palposyllis	prosostoma	Dauvin & Lee, 1983	t	204	164
Pionosyllis	prope-weismanni		f	205	164
Parapionosyllis	minuta	(Pierantoni, 1903)	t	206	165
Eusyllis	blomstrandi	Malmgren, 1867	t	207	167
Eusyllis	assimilis	Marenzeller, 1875	t	208	168
Eusyllis	lamelligera	Marion & Bobretzky, 1875	t	209	150
Eusyllis	intermedia	de Saint-Joseph, 1887	t	210	3
Grubeosyllis	clavata	(de Claparède, 1863)	t	212	170
Grubea	clavata		f	213	170
Brania	pusilla	(Dujardin, 1839)	t	214	152
Grubea	pusilla		f	215	152
Salvatoria	limbata	(de Claparède, 1868)	t	216	171
Grubea	limbata		f	217	171
Salvatoria	swedmarki	(Gidholm, 1962)	t	218	172
Brania (Grubea)	swedmarki		f	219	172
Sphaerosyllis	hystrix	de Calparède, 1863	t	220	173
Erinaceusyllis	erinaceus	de Claparède, 1863	t	221	174
Sphaerosyllis	erinaceus		f	222	174
Sphaerosyllis	bulbosa	Southern, 1914	t	223	155
Prosphaerosyllis	tetralix	Eliason, 1920	t	224	175
Sphaerosyllis	tetralix		f	225	175
Exogone (Exogone)	naidina	Oersted, 1845	t	226	176
Exogone	gemmifera		f	227	176
Exogone (Sylline)	brevipes	(de Claparède, 1864)	t	228	177
Exogone	brevipes		f	229	177
Exogone (Paraexogone)	hebes	(Webster & Benedict, 1884)	t	230	178
Exogone (Exogone)	fauveli	Cognetti, 1961	t	232	179
Exogone	fauveli		f	233	179
Myrianida	prolifera	(O.F. Müller, 1788)	t	234	180
Autolytus	ehbiensis		f	235	180
Autolytus	prolifer		f	236	180
Proceraea	aurantiaca	(de Claparède, 1868)	t	237	181
Autolytus	aurantiacus		f	238	181
Myrianida	rubropunctata	(Grube, 1860)	t	239	182
Autolytus	rubropunctatus		f	240	182
Proceraea	pictus	Ehlers, 1864	t	241	183
Autolytus	pictus		f	242	183
Proceraea	scapularis	(de Claparède, 1864)	t	243	184
Autolytus	megodon		f	244	184
Autolytus	benazzii		f	245	186
Myrianida	brachycephala	(Marenzeller, 1874)	t	246	186
Autolytus	brachycephalus		f	247	186
Autolytus	punctatus		f	248	186
Myrianida	edwardsi	de Saint Joseph, 1887	t	249	187
Autolytus	edwardsi		f	250	187
Autolytus	longeferiens		f	251	188
Epigamia	alexandri	(Malmgren, 1867)	t	252	188
Autolytus	paradoxus		f	253	188
Myrianida	quindecimdentata	Langerhans, 1864	t	254	190
Autolytus	lugens		f	255	190
Myrianida	inermis	de Saint Joseph, 1887	t	256	191
Autolytus (Autolytides)	inermis		f	257	191
Myrianida	pinnigera	(Montagu, 1808)	t	258	192
Virchowia	clavata	Langerhans, 1879	t	259	193
Procerastea	halleziana	Malaquin, 1893	t	260	133
Procerastea	nematodes	Langerhans, 1884	t	261	134
Procerastea	perrieri		f	262	134
Micronereis	variegata	de Claparède, 1863	t	263	195
Websterinereis	glauca	(de Claparède, 1870)	t	264	196
Leptonereis	glauca		f	265	196
Nereis	pelagica	Linneaus, 1761	t	266	197
Neanthes	irrorata	(Malmgren, 1867)	t	267	198
Nereis	irrorata		f	268	198
Nereis	zonata	Malmgren, 1867	t	269	199
Hediste	diversicolor	(O.F. Müller, 1776)	t	270	204
Nereis	diversicolor 		f	271	204
Neanthes	fucata	(de Savigny, 1818)	t	272	205
Nereis (Nereilepas)	fucata		f	273	205
Eunereis	longissima	Johnston, 1840	t	274	206
Nereis	longissima		f	275	206
Perinereis	cultrifera	(Grube, 1840)	t	276	209
Perinereis	marionii	(Audouin & Milne-Edwards, 1833)	t	277	210
Platynereis	dumerilii	(Audouin & Milne-Edwards, 1833)	t	278	211
Platynereis	coccinea	(Delle Chiaje, 1841)	t	279	212
Nephtys	caeca	(Fabricius, 1780)	t	280	213
Nephthys	caeca		f	281	213
Nephtys	hombergii	de Savigny, 1818	t	282	217
Nephthys	hombergii		f	283	217
Nephtys	longosetosa	Oersted, 1842	t	284	218
Nephthys	longoseta		f	285	218
Nephtys	cirrosa	Ehlers, 1868	t	286	185
Nephthys	cirrosa		f	287	185
Nephtys	ciliata	(O.F. Müller, 1789)	t	288	201
Nephthys	ciliata		f	289	201
Nephtys	incisa	Malmgren, 1865	t	290	202
Nephthys	incisa		f	291	202
Nephtys	assimilis	Oersted, 1843	t	292	203
Nephtys	assimilis		f	293	203
Sphaerodorum	flavum	Oersted, 1843	f	294	200
Sphaerodorum	gracilis	(Rathke, 1843)	t	295	200
Ephesia	gracilis		f	296	200
Ephesiella	abyssorum	(Hansen, 1878)	t	297	219
Ephesia	peripatus		f	298	219
Sphaerodoropsis	minuta	(Webster & Benedict, 1887)	t	299	220
Sphaerodorum	minutum		f	300	220
Sphaerodoridium	claparedeii	(Greef, 1866)	t	301	207
Sphaerodorum	claparedii		f	302	207
Glycera	tridactyla	Schmarda, 1861	f	303	222
Glycera	convoluta		t	304	222
Glycera	alba	(O.F. Müller, 1776)	t	305	223
Glycera	capitata	Oersted, 1843	t	306	224
Glycera	lapidum		f	307	224
Glycera	gigantea	de Quatrefages, 1866	t	308	225
Glycera	unicornis	de Savigny, 1818	t	309	214
Glycera	celtica	O'Connor, 1987	t	310	4
Goniada	emerita	Audouin & Milne-Edwards, 1833	t	311	226
Glycinde	nordmanni	(Malmgren, 1866)	t	312	227
Eone	nordmanni		f	313	227
Goniada	maculata	Oersted, 1843	t	314	194
Goniadella	bobretzkii	(Annenkova, 1929)	t	315	215
Eunice	harassii	Audoin et Milne-Edwars, 1833	t	316	229
Eunice	vittata	(Delle Chiaje, 1828)	t	317	230
Marphysa	sanguinea	(Montagu, 1815)	t	318	231
Marphysa	bellii	(Audouin et Milne-Edwards, 1833)	t	319	232
Marphysa	fallax	Marion & Bobretzky, 1875	t	320	233
Lysidice	ninetta	Audouin & Milne-Edwards, 1833	t	321	235
Nematonereis	unicornis	(Grube, 1840)	t	322	237
Nothria	conchylega	(Sars, 1835)	t	323	238
Onuphis	conchylega		f	324	238
Aponuphis	bilineata	(Baird, 1870)	t	325	239
Hyalinoecia	bilineata	(Baird, 1870)	f	326	239
Aponuphis	fauveli	(Rioja, 1918)	t	327	240
Hyalinoecia	fauveli		f	328	240
Scoletoma	impatiens	(de Claparède, 1868)	t	329	242
Lumbrineris	fragilis	(O.F. Müller, 1776)	f	330	243
Scoletoma	fragilis	(O.F. Müller, 1776)	t	331	243
Lumbriconereis	fragilis		f	332	243
Lumbrinereis	gracilis	Ehlers, 1868	t	333	244
Lumbriconereis	gracilis		f	334	244
Lumbrineris	coccinea	(Renier, 1804)	t	335	245
Lumbriconereis	coccinea		f	336	245
Stylarioides	plumosa		f	337	305
Lumbrineris	latreilli	Audouin & Milne-Edwards, 1833	t	338	249
Lumbriconereis	latreilli		f	339	249
Lumbrineris	funchalensis	(Kinberg, 1865)	t	340	228
Lumbriconereis	funchalensis		f	341	228
Lumbrineris	labrofimbriata	(de Saint Joseph, 1888)	t	342	250
Lumbriconereis	labrofimbriata		f	343	250
Lumbrineriopsis	paradoxa	(de Saint Joseph, 1888)	t	344	20
Lumbriconereis	paradoxa		f	345	20
Drilonereis	filum	(de Claparède, 1868)	t	346	2
Drilonereis	macrocephala		f	347	2
Arabella	iricolor	(Montagu, 1804)	t	348	251
Arabella	geniculata	(de Claparède, 1868)	t	349	252
Schistomeringos	rudolphi	(Delle Chiaje, 1828)	t	350	253
Shistomeringos (Staurocephalus)	rudolphii		f	351	253
Dorvillea	rubrovittata	(Grube, 1855)	t	352	254
Staurocephalus	rubrovittatus		f	353	254
Schistomeringos	neglecta	(Fauvel, 1923)	t	354	11
Dorvillea	neglecta	(Fauvel, 1923)	f	355	11
Protodorvillea	kefersteini	(McIntosh, 1869)	t	356	256
Staurocephalus	kefersteini		f	357	256
Ophryotrocha	puerilis siberti	(McIntosh, 1885)	t	358	221
Ophryotrocha	minuta	Lévi, 1954	t	359	236
Ophryotrocha	hartmanni	Huth, 1933	t	360	5
Ophryotrocha	baccii	Parenti, 1961	t	361	257
Ophryotrocha	gracilis	Huth, 1933	t	362	258
Histriobdella	homari	van Beneden, 1858	t	363	259
Orbinia	latreilli	(Audouin & Milne-Edwards, 1833)	t	364	260
Aricia	latreilli		f	365	260
Orbinia	sertulata	de Savigny, 1818	t	366	261
Aricia	cuvieri		f	367	261
Phylo	foetida	(de Claparède, 1868)	t	368	262
Aricia	foetida var. atlantica		f	369	262
Scoloplos	armiger	(O.F. Müller, 1776)	t	370	263
Malacoceros	fuliginosus	(de Claparède, 1868)	t	371	264
Scolelepis	fuliginosus		f	372	264
Malacoceros	tetracerus	(Schmarda, 1861)	t	373	247
Scolelepis	ciliata		f	374	247
Malacoceros	vulgaris	(Johnston, 1827)	t	375	248
Scolelepis	girardi		f	376	248
Scolelepis	cantabra	Rioja, 1919	t	377	265
Nerinides	cantabra		f	378	265
Scolelepis	foliosa	(Audouin & Milne-Edwards, 1833)	t	379	268
Nerine	foliosa		f	380	268
Scolelepis	squamata	(O.F. Müller, 1789)	t	381	269
Nerine	cirratulus		f	382	269
Scolelepis	bonnieri	(Mesnil, 1896)	t	383	270
Nerine	bonnieri	(Mesnil, 1896)	f	384	270
Laonice	bahusiensis	Söderström, 1920	t	385	271
Laonice	cirrata		f	386	271
Aonides	oxycephala	(Sars, 1862)	t	387	272
Microspio	mecznikowianus	de Claparède, 1870	t	388	234
Spio	decoratus	Bobretzky, 1870	t	389	278
Spio	martinensis	Mesnil, 1896	t	390	255
Spio	multioculata	(Rioja, 1918)	t	391	144
Spiophanes	bombyx	(de Claparède, 1870)	t	392	145
Spiophanes	kroyeri	Grube, 1860	t	393	166
Pygospio	elegans	de Claparède, 1870	t	394	273
Polydora	ciliata	(Johnston, 1838)	t	395	411
Polydora	hoplura	de Claparède, 1870	t	396	274
Dipolydora	coeca	(Oersted, 1843)	t	397	208
Polydora	caeca		f	398	208
Polydora	flava	de Claparède, 1870	t	399	275
Dipolydora	giardi	(Mesnil, 1896)	t	400	276
Polydora	giardi	Mesnil, 1896	f	401	276
Dipolydora	armata	(Langerhans, 1880)	t	402	14
Polydora	armata	Langerhans, 1880	f	403	14
Pseudopolydora	pulchra	Carazzi, 1895	t	404	246
Polydora	antennata		f	405	246
Prionospio	cirrifera	Wirén, 1883	t	406	6
Prionospio	malmgreni	de Claparède, 1870	t	407	266
Aricidea	suecica	Eliason, 1920	t	408	277
Aricidea	capensis bansei	Laubier & Ramos, 1974	t	409	21
Aricidea	cerrutii	Laubier, 1966	t	410	136
Aricidea	fragilis	Webster, 1879	t	411	216
Aricidea	minuta	Southward, 1956	t	412	279
Paradoneis	armata	Glémarec, 1966	t	413	280
Paradoneis	lyra	(Southern, 1914)	t	414	15
Paraonis	fulgens	(Levinsen, 1884)	t	415	7
Apistobranchus	tullbergi	(Théek, 1870)	t	416	281
Magelona	mirabilis	(Johnston, 1865)	t	417	282
Magelona	papillicornis		f	418	282
Magelona	filiformis	Wilson, 1959	t	419	56
Magelona	alleni	Wilson, 1958	t	420	158
Oriopsis	armandi	(de Claparède, 1856)	t	421	284
Poecilochaetus	serpens	Allen, 1904	t	422	284
Chaetopterus	variopedatus	(Renier, 1804)	t	423	285
Phyllochaetopterus	socialis	Claparède, 1869	f	424	286
Phyllochaetopterus	anglicus	Potts, 1914	t	425	286
Cirriformia	tentaculata	(Montagu, 1808)	t	426	287
Audouinia	tentaculata		f	427	287
Cirratulus	cirratus	(O.F. Müller, 1776)	t	428	288
Aphelochaeta	filiformis	(Keferstein, 1862)	t	429	289
Cirratulus	filiformis		f	430	289
Cirratulus	chrysoderma	de Claparède, 1870	t	431	290
Caulleriella	bioculata	(Keferstein, 1862)	t	432	293
Heterocirrus	bioculatus		f	433	293
Chaetozone	caputesocis	(de Saint-Joseph, 1894)	t	434	22
Heterocirrus	caput-esocis		f	435	22
Caulleriella	alata	(Southern, 1914)	t	436	294
Heterocirrus	alatus		f	437	294
Chaetozone	setosa	Malmgren, 1867	t	438	295
Aphelochaeta	marioni	(de Saint Joseph, 1894)	t	439	296
Dodecaceria	concharum	Oersted, 1843	t	440	299
Dodecaceria	caulleryi	Oersted, 1843	f	441	299
Macrochaeta	clavicornis	Sars, 1835	t	442	300
Ctenodrilus	serratus	(Schmidt, 1857)	t	443	301
Streblospio	benedicti	Webster, 1879	t	444	302
Streblospio	shrubsolii		f	445	302
Flabelligera	affinis	Sars, 1829	t	446	303
Pherusa	eruca	(de Claparède, 1870)	t	447	304
Stylarioides	eruca		f	448	304
Pherusa	plumosa	(O.F. Müller, 1776)	t	449	305
Pherusa	monilifera	Delle Chiaje, 1841	t	450	306
Stylarioides	monolifer		f	451	306
Sclerocheilus	minutus	Grube, 1863	t	452	23
Scalibregma	celticum	Mackie, 1991	t	453	307
Scalibregma	inflatum		f	454	307
Asclerocheilus	intermedius	(de Saint-Joseph, 1894)	t	455	308
Diplocirrus	glaucus	(Malmgren, 1867)	t	456	309
Ophelia	bicornis	de Savigny, 1818	t	457	310
Ophelia	radiata	(Delle Chiaje, 1828)	t	458	311
Ophelia	neglecta	Schneider, 1887	t	459	312
Ophelia	roscoffensis	Augener, 1910	t	460	313
Ophelia	limacina		f	461	313
Ophelia	rathkei	McIntosh, 1908	t	462	8
Ophelia	celtica	Amoureux & Dauvin, 1981	t	463	400
Armandia	polyophthalma	Kükenthal, 1887	t	464	314
Polyophthalmus	pictus	(Dujardin, 1939)	t	465	315
Travisia	forbesii	Johnston, 1840	t	466	317
Arenicola	marina	(Linnaeus, 1767)	t	467	318
Arenicolides	ecaudata	Johnston, 1865	t	468	320
Arenicola	ecaudata		f	469	320
Arenicolides	branchialis	Audouin & Milne-Edwards, 1833	t	470	321
Arenicola	grubii		f	471	321
Euclymene	lumbricoides	de Quatrefages, 1866	t	472	322
Clymene (Euclymene)	lumbricoides		f	473	322
Euclymene	oerstedii	de Claparède, 1863	t	474	324
Clymene (Euclymene)	oerstedii		f	475	324
Clymenella	cincta	de Saint-Joseph, 1894	t	476	325
Johnstonia	clymenoides	de Quatrefages, 1866	t	477	326
Clymenura	clypeata	de Saint-Joseph, 1894	t	478	327
Leiochone	clypeata		f	479	327
Micromaldane	ornithochaeta	Mesnil, 1897	t	480	9
Proclymene	muelleri	(Sars, 1897)	t	481	328
Proclymene	mulleri		f	482	328
Praxillella	affinis	Sars, 1872	t	483	329
Petaloproctus	terricola	de Quatrefages, 1866	t	484	330
Owenia	fusiformis	Delle Chiaje, 1842	t	485	332
Galathowenia	oculata	(Zachs, 1922)	t	486	333
Myriochele	sp.		f	487	333
Myriochele	heeri	Malmgren, 1867	t	488	297
Mediomastus	fragilis	Rasmussen, 1973	t	489	334
Notomastus	latericeus	Sars, 1851	t	490	335
Heteromastus	filiformis	(de Claparède, 1864)	t	491	17
Capitella	giardi	(Mesnil, 1897)	t	492	336
Capitella	capitata	(Fabricius, 1780)	t	493	319
Capitella	minima	Langerhans,1881	t	494	16
Capitomastus	minimus	(Langerhans,1881)	f	495	16
Cossura	pygodactylata	Jones, 1956	t	496	10
Cossura	soyeri		f	497	10
Sabellaria	alveolata	(Linnaeus, 1767)	t	498	337
Sabellaria	spinulosa	(Leuckart, 1849)	t	499	340
Lygdamis	muratus	(Allen, 1904)	t	500	341
Pallasia	murata		f	501	341
Pectinaria (Lagis)	koreni	(Malmgren, 1866)	t	502	342
Pectinaria (Amphictene)	auricoma	(Müller, 1776)	t	503	343
Ampharete	baltica	Eliason, 1962	t	504	401
Ampharete	grubei		f	505	401
Amphicteis	gunneri	(Sars, 1835)	t	506	344
Melinna	cristata	(Sars, 1835)	t	507	291
Melinna	palmata	Grube, 1869	t	508	346
Neoamphitrite	edwardsii	(de Quatrefages, 1866)	t	509	347
Amphitrite	edwardsi		f	510	347
Amphitritides	gracilis	(Grube, 1860)	t	511	348
Amphitrite	gracilis		f	512	348
Neoamphitrite	figulus	(Dallyel, 1853)	t	513	349
Amphitrite	johnstoni		f	514	349
Terebella	lapidaria	(Linnaeus, 1767)	t	515	350
Lanice	conchilega	Pallas, 1778	t	516	354
Eupolymnia	nebulosa	(Montagu, 1818)	t	517	357
Polymnia	nebulosa		f	518	357
Eupolymnia	nesidensis	(Delle Chiaje, 1828)	t	519	358
Nicolea	venustula	(Montagu, 1818)	t	520	360
Pista	maculata	(Dallyel, 1853)	t	521	361
Pista	cretacea	(Grube, 1860)	t	522	24
