id	date	id_biotope	id_station	nom_observateur	pages_citation	abondance	densite	reproduction	altitude_profondeur	id_moderecolte	id_typerecolte	remarques	valide	id_espece	id_nomespece	owner	desc_biotope	id_biblio
120		138	185	CABIOCH	p.15				75 m	2	8		t	45	49	houbin	sur fond caillouteux à Ophiures	23
121		241	79	CORNET	p.15					1			t	66	50	houbin	sable fin peu envasé	23
122		64	469	CABIOCH	p.15				4 m	2	8		t	66	50	houbin	maerl	23
123		64	469	CABIOCH	p.15				4 m	2	8		t	67	52	houbin	maerl	23
136		254	582	DAUVIN	129 -134	présent			25 à 30 m	2	7	récoltés à l'aide d'une 7 Hamon lors de suivis trimestriels effectués entre août 1977 et août 1980	t	164	195	houbin	Non renseigné	55
140		132	79		p. 79					1			t	61	42	houbin	sous des pierres	204
145		132	300		p. 107					1			t	61	42	houbin	sous des pierres	90
6800		254	582		p 2					4	1		t	1189		houbin	Non renseigné	165
77	1968-01-01	763	314	CABIOCH		-			30 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23
144		216	452		P.v 443					4			t	47	31	houbin	dans la vase	71
147		200	398	JOUIN, 1965						2	8		t	48	32	houbin	dans le sable coquillier	
158		181	148	L'HARDY et JOUIN, 1966		abondant				1			t	38	23	houbin	dans des sables grossiers propres	
168		33	56							1			t	46	30	houbin	parmi les algues	
169		132	178							1			t	57	37	houbin	sous des pierres	
170		132	83							1			t	57	37	houbin	sous des pierres	
152		200	534		p.97	présent				2	8		t	38	23	houbin	dans le sable coquillier	107
155		200	79							1			t	35	20	houbin	dans le sable coquillier	125
161		72	383		p. 596					2	8		t	51	36	houbin	dans les graviers	150
157		200	495			présent				2	8		t	40	25	houbin	dans le sable coquillier	125
159		200	5							2	8		t	44	29	houbin	dans le sable coquillier	131
162		200	277							2	8		t	57	37	houbin	dans le sable coquillier	150
142		84	329		p. 205					1			t	50	34	houbin	herbier de Zostères	204
143		84	329		p. 205	abondant				1			t	51	36	houbin	herbier de Zostères	204
163		84	83		p. 594					1			t	60	41	houbin	herbier de Zostères	150
101		183	538	CABIOCH	p.14	présent			85 m	2	8		t	60	41	houbin	dans la vase ou le sable vaseux	23
102		183	539	CABIOCH	p.14	présent			85 m	2	8		t	60	41	houbin	dans la vase ou le sable vaseux	23
6247		273	335		p 122					4	1		t	1451		houbin	sable	204
165		200	5							2	8		t	41	26	houbin	dans le sable coquillier	186
166		200	5		p.8	présent				2	8		t	42	27	houbin	dans le sable coquillier	186
171	1977-08-08	193	548	J.C. Dauvin	90					2	7		t	400	463	houbin	sable à Amphioxus	195
73		72	206	CABIOCH	p. 13					2	8		t	50	34	houbin	dans les graviers	23
125		84	329	RULLIER	p.15					1		Commensale de <i>Amphitrite edwardsi</i>	t	68	54	houbin	herbier de Zostères	23
114	1950-04-10	252	180	LEVI, dét. FAUVEL	p.15	rare				2	8		t	64	47	houbin	sur le spongiaire <i>Desmacidon</i>	23
6325		185	329		p 204					4	1		t	1273		houbin	dans le sable fin de la plage	204
8317		254	582		p 628, 630, 631					4	1		t	1461		houbin	Non renseigné	19
6237		228	529		p 203	très grande abondance				4	1		t	1456		houbin	vase saumâtre de l'arrière fond est de la plage, parmi les Zostères	210
6249		34	582		p 589					4	1		t	1285		houbin	dans les Cystoseires de l'herbier	150
6263		84	582		p 13					4	1		t	1167		houbin	herbier de Zostères	49
6240		136	187	Cornet, 1951	p 52	nombreux exemplaires			-70m	4	1		t	1382		houbin	sur des pierres	49
6270		155	582		p 70					4	1		t	1485		houbin	sous les rochers	49
6280		41	582		p 189					4	1		t	1380		houbin	dans la tunique d'Ascidia mentula fixée aux champs de blocs libres	204
6282		201	582		p 90	commun				4	1		t	1265		houbin	dans les sables coquilliers à Venus fasciata	164
6288		1	582		p 160					4	1		t	1089		houbin	parmi les Fucus	204
6289		1	582		p 77					4	1		t	1129		houbin	parmi les Fucus	204
6253		254	582		p 705					4	1		t	1401		houbin	Non renseigné	19
6264		254	582		pp 588, 648					4	1		t	1099		houbin	Non renseigné	19
6283		254	582		pp 548, 571, 58					4	1		t	1100		houbin	Non renseigné	19
6252		222	239		p 151					4	1		t	1444		houbin	sables vaseux	54
6284		254	582	Prenant	p 4					4	1	mûr en été	t	1100		houbin	Non renseigné	49
6254		265	148		p 170					4	1		t	1493		houbin	dans les fissures de rochers et dans les trous abandonnés par les Pholades et les Saxicaves	54
6290		254	582		p 136					4	1		t	1102		houbin	Non renseigné	87
6256		1	79		pp 77,78					4	1		t	1229		houbin	parmi les Fucus	204
6257		185	210		p 216	abondant				4	1	cf. GUIART ?	t	1273		houbin	dans le sable fin de la plage	204
6297		254	582		p 648					4	1		t	1102		houbin	Non renseigné	19
6259		273	355	et al.	p 42					4	1		t	1281		houbin	sable	49
6300		254	582	Drach, 1950	p 5					4	1	ponte d'oeufs libres en mai	t	1102		houbin	Non renseigné	49
6261		273	79	et al.	p 42					4	1		t	1281		houbin	sable	49
6262		84	425		p 58	en grand nombre				4	1		t	1160		houbin	herbier de Zostères	54
6265		132	83	et al.	p 32					4	1		t	1301		houbin	sous des pierres	49
6266		16	177		p 584					4	1		t	1398		houbin	sur la face inférieure des Fucus et dans les interstices abrités de la lumière	150
6356		254	582	Drach, 1950	p 8					4	1		t	1511		houbin	Non renseigné	49
6358		254	582		p 1495					4	1	héberge Hypocomina patellarum (Lichtenstein)	t	1511		houbin	Non renseigné	32
6359		254	582		p 588					4	1		t	1511		houbin	Non renseigné	19
6370		254	582		pp 588, 648, 65					4	1		t	1105		houbin	Non renseigné	19
6374		254	582	Cornet	p 8					4	1		t	1105		houbin	Non renseigné	49
6375		254	582		p 1887					4	1	ponte en avril et en mai	t	1105		houbin	Non renseigné	17
6388		254	582		pp 556, 641, 65					4	1		t	1106		houbin	Non renseigné	19
6329		185	202		p 219	abondant				4	1		t	1446		houbin	dans le sable fin de la plage	204
148		200	5	JOUIN, 1966						4			t	37	22	houbin	dans le sable coquillier	
149		200	534	JOUIN, 1966						4			t	37	22	houbin	dans le sable coquillier	
6277		132	257	et al.	p 32					4	1		t	1301		houbin	sous des pierres	49
6391		254	582		pp 556, 641, 64					4	1		t	1107		houbin	Non renseigné	19
6279		132	148	et al.	p 32					4	1		t	1301		houbin	sous des pierres	49
6399		254	582		p 649					4	1		t	1090		houbin	Non renseigné	19
6414		254	582		p 136					4	1		t	1114		houbin	Non renseigné	87
6419		254	582	Lévi, 1950	p 9					4	1	ponte d'oeufs libres en observée de juin au début août	t	1114		houbin	Non renseigné	49
6285		84	529		pp 210, 212					4	1		t	1405		houbin	herbier de Zostères	210
6286		279	82		p 102					4	1		t	1159		houbin	dans les Cystoseires	204
6287		144	329		p 10					4	1	récolté en juillet 1973	t	1320		houbin	sous les pierres dans l'herbier	15
6423		254	582		p 2					4	1		t	1115		houbin	Non renseigné	165
6291		1	79		p 77					4	1		t	1129		houbin	parmi les Fucus	204
6292		1	393		p 85					4	1		t	1145		houbin	parmi les Fucus	204
6293		44	177		p 584					4	1		t	1288		houbin	sous les pierres déplaçables à la main	150
6294		44	447		p 584					4	1		t	1288		houbin	sous les pierres déplaçables à la main	150
6295		84	82		p 594					4	1		t	1125		houbin	herbier de Zostères	150
6296		44	221		p 584					4	1		t	1288		houbin	sous les pierres déplaçables à la main	150
6424		254	582		p 284					4	1	pontes gélatineuses sur les Zostères en été	t	1118		houbin	Non renseigné	162
6298		44	410		p 584					4	1		t	1288		houbin	sous les pierres déplaçables à la main	150
6436		254	582							4	1	pontes gélatineuses fixées sur les Zostères et les Algues de juin à septembre, avec un maximum en août	t	1124		houbin	Non renseigné	204
6302		44	410		p 584					4	1		t	1317		houbin	sous les pierres déplaçables à la main	150
6303		44	447		p 584					4	1		t	1317		houbin	sous les pierres déplaçables à la main	150
6307		44	177		p 584					4	1		t	1317		houbin	sous les pierres déplaçables à la main	150
6308		44	221		p 584					4	1		t	1317		houbin	sous les pierres déplaçables à la main	150
6309		44	447		p 584					4	1		t	1397		houbin	sous les pierres déplaçables à la main	150
6310		44	221		p 584					4	1		t	1397		houbin	sous les pierres déplaçables à la main	150
6311		44	410		p 584					4	1		t	1397		houbin	sous les pierres déplaçables à la main	150
6312		44	177		p 584					4	1		t	1397		houbin	sous les pierres déplaçables à la main	150
6313		132	79		p 80					4	1		t	1288		houbin	sous des pierres	204
6314		174	238	Cornet	p 32					4	1		t	1309		houbin	parmi Ascidies couvertes de vase	49
6315		144	83		p 43					4	1		t	1288		houbin	sous les pierres dans l'herbier	49
6318		80	371		p 167, 178	très abondant				4	1		t	1145		houbin	dans les grottes à Styelopsis	204
6321		43	194		p 191					4	1		t	1133		houbin	dans les champs de blocs	204
6322		38	195		p 597					4	1		t	1309		houbin	sur les Fucus envahis par les Hydraires et les Bryozoaires	150
6323		38	224		p 597					4	1		t	1309		houbin	sur les Fucus envahis par les Hydraires et les Bryozoaires	150
6316		132	582		p 5	commun			niveau assez bas	4	1		t	1102		houbin	sous des pierres	49
6326		185	66		p 219					4	1		t	1432		houbin	dans le sable fin de la plage	204
6327		185	202		p 219					4	1		t	1438		houbin	dans le sable fin de la plage	204
6328		185	329		p 203					4	1		t	1446		houbin	dans le sable fin de la plage	204
6330		185	329		p 203					4	1		t	1448		houbin	dans le sable fin de la plage	204
6317		98	582		p 551	quelques exemplaires				4	1	récolte en juillet	t	1337		houbin	sur des Bugularia avicularia	96
6332		185	329		p 203					4	1		t	1451		houbin	dans le sable fin de la plage	204
6336		222	148		p 18					4	1		t	1465		houbin	sables vaseux	103
6337		222	589		p 18					4	1		t	1465		houbin	sables vaseux	103
6320		154	582		p 98					4	1	noire à l'extérieur et noir bleuâtre à l'intérieur	t	1089		houbin	sur les rochers	54
6334		222	582	et al.	p 63	très grande quantité parfois				4	1		t	1433		houbin	sables vaseux	49
6340		222	188		p 18					4	1		t	1465		houbin	sables vaseux	103
6347		185	582		p 592	horizon moyen				4	1		t	1432		houbin	dans le sable fin de la plage	150
6342		195	195		p 597				horizon supérieur	4	1		t	1481		houbin	sable formant une boue compacte et ne se desséchant pas	150
6343		195	224		p 597				horizon supérieur	4	1		t	1481		houbin	sable formant une boue compacte et ne se desséchant pas	150
6349		185	582		p 592	horizon moyen				4	1		t	1433		houbin	dans le sable fin de la plage	150
6352		185	582		p 592				horizon moyen	4	1		t	1436		houbin	dans le sable fin de la plage	150
6353		185	582		p 592	horizon moyen				4	1		t	1438		houbin	dans le sable fin de la plage	150
6354		185	582		p 592				horizon moyen	4	1		t	1365		houbin	dans le sable fin de la plage	150
6357		185	582		p 592				Horizon moyen	4	1		t	1452		houbin	dans le sable fin de la plage	150
6360		185	582		p 592				Horizon moyen	4	1		t	1453		houbin	dans le sable fin de la plage	150
6361		185	582		p 592	horizon moyen				4	1		t	1497		houbin	dans le sable fin de la plage	150
6441		254	582		p 649					4	1		t	1124		houbin	Non renseigné	19
6397		34	79		p 33					4	1		t	1299		houbin	dans les Cystoseires de l'herbier	49
6362		193	517		p 533	très abondant				4	1		t	1179		houbin	sable à Amphioxus	163
6363		14	92		p 110	abondant				4	1		t	1511		houbin	sur des Laminaires	204
6364		273	325	MM. CROUAN	p 343					4	1		t	1171		houbin	sable	53
6365		273	325		p 344					4	1		t	1178		houbin	sable	53
6366		273	94		p 340					4	1	rejeté à la côte	t	1191		houbin	sable	53
6367		273	325		p 347					4	1		t	1214		houbin	sable	53
6446		254	582		p 284					4	1	ponte d'oeufs libres en juin	t	1125		houbin	Non renseigné	162
6369		273	94	Riou	p 347					4	1		t	1214		houbin	sable	53
6448		254	582		p 120					4	1	hôte de Lichomolgus trochi Canu	t	1125		houbin	Non renseigné	62
6371		273	94		p 221					4	1		t	1216		houbin	sable	52
6450		254	582		pp 588, 649, 65					4	1		t	1125		houbin	Non renseigné	19
6373		273	94	Bavay	p 77					4	1		t	1216		houbin	sable	54
6546		254	582		pp 588, 648, 65					4	1		t	1150		houbin	Non renseigné	19
6376		273	325	A. Bavay	p 38					4	1		t	1228		houbin	sable	54
6377		273	325	MM Crouan	p 354					4	1		t	1138		houbin	sable	53
6467		254	582		pp 648, 650, 65					4	1		t	1126		houbin	Non renseigné	19
6379		273	325		p 348					4	1		t	1194		houbin	sable	53
6380		273	325	collection du Laboratoire de Roscoff	p 155					4	1		t	1434		houbin	sable	54
6476		254	582	et al.	p 10					4	1	associé à Gibbula umbilicalis dans tous les gisements, mais en général moins abondant	t	1127		houbin	Non renseigné	49
6478		254	582		p 566, 649					4	1		t	1128		houbin	Non renseigné	19
6575		254	582		pp 618, 630, 63					4	1		t	1153		houbin	Non renseigné	19
6389		273	325		p 14					4	1		t	1436		houbin	sable	48
6401		185	582		p 592				horizon moyen	4	1		t	1478		houbin	dans le sable fin de la plage	150
6402		175	582		p 160	essaims nombreux				4	1		t	1092		houbin	dans les fentes de la roche nue	204
6403		65	582		p 589				horizon moyen de la zone littorale	4	1		t	1351		houbin	cuvettes à Corallina	150
6406		1	582						horizon sup. à Fucus	4	1		t	1127		houbin	parmi les Fucus	150
6411		125	582		p 86	commun				4	1		t	1251		houbin	dans les byssus des moules	164
6413		131	582		p 121					4	1		t	1397		houbin	fonds caillouteux	22
6462		84	582		p 35	assez commun				4	1	mai-juin; plus rare dès juillet	t	1318		houbin	herbier de Zostères	49
6493		254	582		p 176					4	1		t	1123		houbin	Non renseigné	50
6404		185	206		p 165					4	1		t	1447		houbin	dans le sable fin de la plage	54
6405		154	206		p 56					4	1		t	1158		houbin	sur les rochers	54
6408		273	148		p 18					4	1		t	1278		houbin	sable	182
6409		273	325		p 12					4	1		t	1480		houbin	sable	48
6410		57	417		p 5	très abondant				4	1	plus rare ailleurs à la côte	t	1095		houbin	parmi les coquilles vides	49
6412		40	79		pp 77, 78, 84					4	1		t	1158		houbin	sur les pierres recouvertes de Fucus et pour certaines d'Hildenbrandsia	204
6499		254	582		p 3					4	1		t	1260		houbin	Non renseigné	165
6506		254	582	Marchad, 1950	p 9					4	1		t	1129		houbin	Non renseigné	49
6519		254	582		pp 106, 136					4	1		t	1145		houbin	Non renseigné	87
6524		254	582		pp 562, 656					4	1		t	1145		houbin	Non renseigné	19
6530		254	582		p 594					4	1		t	1146		houbin	Non renseigné	19
6531		254	582	collection du Laboratoire de Roscoff	p 91					4	1		t	1146		houbin	Non renseigné	54
6421		101	19		p 11	assez commun				4	1	trouvé principalement en été (mai à août), partout où les Eunicella verrucosa sont abondantes	t	1334		houbin	sur Eunicella verrucosa	15
6422		101	16		p 11	assez commun				4	1	trouvé principalement en été (mai à août), partout où les Eunicella verrucosa sont abondantes	t	1334		houbin	sur Eunicella verrucosa	15
6568		254	582		p 650					4	1		t	1152		houbin	Non renseigné	19
6574		254	582		p 342					4	1	parasité par Cercaria rhodometopa Pérez dans la glande génitale	t	1153		houbin	Non renseigné	141
6425		101	492		p 11	assez commun				4	1	trouvé principalement en été (mai à août), partout où les Eunicella verrucosa sont abondantes	t	1334		houbin	sur Eunicella verrucosa	15
6808		254	582		p 635, 636					4	1		t	1192		houbin	Non renseigné	19
6507		84	589		p 86	très abondant				4	1	en septembre	t	1498		houbin	herbier de Zostères	83
6426		101	383		p 11	assez commun				4	1	trouvé principalement en été (mai à août), partout où les Eunicella verrucosa sont abondantes	t	1334		houbin	sur Eunicella verrucosa	15
6427		101	488		p 11	assez commun				4	1	trouvé principalement en été (mai à août), partout où les Eunicella verrucosa sont abondantes	t	1334		houbin	sur Eunicella verrucosa	15
6428		34	83		p 40					4	1		t	1351		houbin	dans les Cystoseires de l'herbier	49
6429		147	329		p 128					4	1		t	1412		houbin	dans les touffes de Lichina pygmaea	54
6430		147	264		p 128					4	1		t	1412		houbin	dans les touffes de Lichina pygmaea	54
6431		147	239		p 128					4	1		t	1412		houbin	dans les touffes de Lichina pygmaea	54
6586		254	582	Marchad, 1950	p 17					4	1		t	1155		houbin	Non renseigné	49
6801		254	582		p 2					4	1		t	1190		houbin	Non renseigné	165
6434		147	323		p 128					4	1		t	1412		houbin	dans les touffes de Lichina pygmaea	54
6435		147	83		p 128					4	1		t	1412		houbin	dans les touffes de Lichina pygmaea	54
6437		147	206		p 128					4	1		t	1412		houbin	dans les touffes de Lichina pygmaea	54
6621		254	582		p 199					4	1	hôte de Protophrya ovicola Kofoid dans l'utérus et la cavité palléale	t	1158		houbin	Non renseigné	38
6439		273	206		p 58					4	1		t	1418		houbin	sable	49
6440		84	177		p 595	banc important				4	1		t	1390		houbin	herbier de Zostères	150
6622		254	582	Marchad, 1950	p 18					4	1		t	1158		houbin	Non renseigné	49
6658		254	582		p 199					4	1	parasité par Protophrya ovicola Kofoid, dans l'utérus et dans la cavité palléale	t	1091		houbin	Non renseigné	38
6676		254	582	KOFOID, 1903	p 17					4	1	parasité par Protophrya ovicola Kofoid, dans l'utérus et dans la cavité palléale	t	1091		houbin	Non renseigné	49
6444		84	425		p 58					4	1	beaucoup plus abondante que la coloration typique	t	1160		houbin	herbier de Zostères	54
6701		254	582	Marchad, 1950	p 16					4	1		t	1160		houbin	Non renseigné	49
6711		254	582	Marchad, 1950	p 16					4	1		t	1163		houbin	Non renseigné	49
6715		254	582	Marchad, 1950	p 15					4	1		t	1164		houbin	Non renseigné	49
6716		254	582	Marchad, 1950	p 13					4	1		t	1165		houbin	Non renseigné	49
6449		278	244	Joly	p 46	assez commun				4	1	rampe à la surface du sable	t	1262		houbin	sur le sable	49
6720		254	582		pp 649, 650					4	1		t	1165		houbin	Non renseigné	19
6451		278	325		p 23	assez grand nombre				4	1		t	1469		houbin	sur le sable	48
6721		254	582	Marchad, 1950	p 13					4	1		t	1166		houbin	Non renseigné	49
6454		273	355		p 591					4	1		t	1405		houbin	sable	150
6455		273	329		p 591					4	1		t	1405		houbin	sable	150
6456		273	329		p 591					4	1		t	1407		houbin	sable	150
6458		273	355		p 591					4	1		t	1407		houbin	sable	150
6460		273	355		p 591				plage sup.	4	1		t	1431		houbin	sable	150
6461		273	329		p 591				plage sup.	4	1		t	1431		houbin	sable	150
6463		125	148	Cornet	p 21	très abondant				4	1		t	1251		houbin	dans les byssus des moules	49
6464		84	148		p 25					4	1		t	1267		houbin	herbier de Zostères	54
7073		254	582		p 3					4	1		t	1236		houbin	Non renseigné	165
